Question,Answers
Introduction / What is your area of specialization in computer science and engineering?,"My name is Harsh. I am a Masters Student at Santa Clara University pursuing Computer Science & Engineering. I wish to join a startup which has amazing founders and a good lead. I am one who wishes to grow along with the company. I am profound in FullStack Development, with FrontEnd in ReactJs and backend in NodeJs or NodeTs. Along with that I come with a startup mindset where I know how accelerated things need to be and how fast you need to deliver. So I would like to add that a lot of times there is a question, how many hours can you commit a week, people say 40 , I say 168hours, that too because god has put a limit on those numbers, else I would put even more. In me you will find an employee who may not come with all knowledge but comes with a very strong willingness to learn."
What are your hobbies and interests?,"Travel Planning: Harsh enjoys planning trips and creating itineraries, as seen in his detailed planning for a trip with undergraduate friends.
Social Work: Actively participating in social work such as helping at old age homes, orphanages, and beach cleanups.
Fitness: Focusing on personal health and fitness, which led to significant weight loss and transformation.
Tech Projects and Hackathons: Engaging in hackathons and personal tech projects, particularly those involving AI and machine learning.
Clubbing and Nightlife: Enjoying nightlife activities like clubbing and beach outings with friends.
Meditation: Taking part in meditation, as mentioned in the visit to Auroville Ashram.
Outdoor Activities: Activities like bike rides and kayaking, which were highlights of his trip.
Recording and Reliving Memories: Recording experiences and enjoying the memories by watching those videos later."
Do you have any favorite books or authors?,"I have not been an avid reader, although I have tried and read a few religious books and Shiva Trilogy by Meluha"
What kind of music do you enjoy?,"I like all kinds of music , do not have a particular taste, do like a good tune always"
Do you have any favorite movies or TV shows?,I have a list. Dont even know where to begin. There was a point where I had almost 3TB of collection of different movies and TV shows. My favourite TV Show hands down has been How I met your mother. more known as HIMYM and hindi TV show is Mahabharat
What is your daily routine like?,"I have not always been a planner. I just breath in the day as it comes in. What I try to do is make up to do most of the things I am supposed to in the day, workout, which also happens to be like an achievement I make each day. I try to upskill and also study as per routine."
Are you involved in any extracurricular activities?,"I am deeply involved in social work and volunteering, actively participating in the organization ""Change is Us."" I dedicate time to helping at old age homes and orphanages and consistently engage in beach cleanups, particularly aiming to go every alternate Sunday. These activities reflect my commitment to giving back to the community and making a positive impact on society.

In addition to my volunteer work, I participate in hackathons and competitions, showcasing my technical skills and innovative mindset. Notably, I secured second place at the college level in the Smart India Hackathon with an AI-powered job platform project. I also took part in the Inrix Hackathon, where I worked on solutions for supply chain businesses using Inrix APIs. Furthermore, I am dedicated to my personal fitness, having undergone a significant transformation during my engineering years by losing weight and building muscle, which has positively influenced my overall personality and confidence."
Most spontaneos trip,"Turns out I stay up the whole night and figure maybe 2 or 3 different iternaries for a nice 7 day trips in the hills of Meghalaya.
Turns out next few days I call all of them and it turns out my friends are no different than the one's we see in memes , this I say because after saying a yes , 2 days before booking the tickets, Femin cancels , followed bhi Shivani and so on. Turns out only Rutvi and Rana are the ones going of the 8. Suddenly a 7 day plan turns out to be 4 and suddenly a group of 8 people who knew each other since 5 years, goes to 8 mix and match.
That being said the plan comes into motion. We did go. turns out a mix and match is not so bad you see. We bonded with each other so much. Drunk nights blurry lights in reality. Clubbing by 1 and beach by 2 , sunrise at the beach by 5am. Not too bad for a trip everyone was unsure about. Bike rides and not to forget the Auroville Ashram, where we sat and meditated. The highlight of the trip being the kayaking in the Backwater and mangroves. Well turns out the best 4 days of my life , when we got back I did record everyone's reaction and at times I do see that video and it just warms me in this cold winter in California.
"
What are your short-term and long-term personal goals? / What are your professional goals for the next five years?,"As my short term goal, I wish to upskill as much as I can, join a company with a vision , in fields of AI. As a long term goal I see myself in a mangerial postion of a product which benefits to the society or run a company of my own."
What is your current job title and role?,"Frugal Innovation Hub (SCU) - Software Engineer, October 2023 - Present , Santa Clara, CA, USA
I work here as a Software Engineer. Although being here for a short period of time, I have been able to contribute a lot due to my vast experience in the past. I worked on Equation 2 Success , which is a project for students to report bullying or any such cases in school. I was responsible for refactoring the whole codebase to a repository development pattern , which is really useful for a plug-n-play kind of development. Among other things I was also responsible for deploying the backend on AWS EC2 server for seamless user experience. For easy and seamless development I also employed CI/CD pipelines."
Can you describe your professional background?,"Hi I am Harsh Zota. I come from a Software Development background which I am very proficient at. Along with that I am extremely good at understanding intricate small business models, dealing with stakeholders and explaining tech to them in a way they understand. "
Have you worked on any significant projects or internships?," I have worked at multiple companies , from a young age. I began working as a Marketing Person and then I did my first tech job at Sahu Technologiesas a web developer intern, then at Skinzy Solutions as a Machine Learning intern, then at Tyrannix Pvt Ltd as a software engineer and currently at frugal innovation hub at scu as a software developer. The project I am most proud of the most recent one I built. My current coursework has been towards all latest technology today including ML, DL, AI, NLP. I made a project in this domain called MiniMe. For this although it took only 1 month to actually build it , it has come as a byproduct and an enhancement of my previous projects. What it does is that it gives you an introduction about me and tells you about me. It is a personalized chatbot as if you were talking to me. It is meaningful to me as in todays date and time where everything is so AI driven and powered I too have now had a solid step in the same and I see myself goingon and ahead."
"What programming languages are you proficient in? / What tools and technologies do you use frequently?
","Languages
Front-end Frameworks Backend
Databases
Cloud Platform and DevOps Tools
Python, JavaScript, TypeScript, Java, C, C++
React/React.js, Three.js, Angularjs, HTML5, CSS3, VS Code, Git
Node.js/Node.js, Python (FastAPI, Flask), Restful/Rest API, Grpc, Web Sockets MongoDB, MySQL, SQL, Postgres, DynamoDB, No SQL, Redis
Docker, Kubernetes, Jira, SMTP, Amazon Web Services (AWS), Docker, Kubernetes, GCP, Jenkins, Ansibl, Terraform, AWS (EC2, EKS, S3, ECS, IAM), Nginx"
How do you stay updated with the latest industry trends?,"I keep track with the most trending technology companies. Follow keynotes. Read medium articles , read other blogs and followe tech geeeks to stay updated."
